registry	index	id	spelling	surface	program_path	status	reason	gap_id	fix	command	evidence
Syntax::LEXICAL_LEDGER	8	syntax-registry-008-none-c50bf85f	@	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/008.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[8]	syntax-roundtrip:syntax-registry-008-none-c50bf85f:jet_fmt	Add a real fixture for syntax-registry-008-none-c50bf85f and exercise jet_fmt	null	[]
Syntax::LEXICAL_LEDGER	8	syntax-registry-008-none-c50bf85f	@	language_server	scripts/agent/syntax-roundtrip-fixtures/008.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[8]	syntax-roundtrip:syntax-registry-008-none-c50bf85f:language_server	Add a real fixture for syntax-registry-008-none-c50bf85f and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	8	syntax-registry-008-none-c50bf85f	@	canvas	scripts/agent/syntax-roundtrip-fixtures/008.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[8]	syntax-roundtrip:syntax-registry-008-none-c50bf85f:canvas	Add a real fixture for syntax-registry-008-none-c50bf85f and exercise canvas	null	[]
Syntax::LEXICAL_LEDGER	9	syntax-registry-009-none-890d9d90	-[…]	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/009.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[9]	syntax-roundtrip:syntax-registry-009-none-890d9d90:jet_fmt	Add a real fixture for syntax-registry-009-none-890d9d90 and exercise jet_fmt	null	[]
Syntax::LEXICAL_LEDGER	9	syntax-registry-009-none-890d9d90	-[…]	language_server	scripts/agent/syntax-roundtrip-fixtures/009.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[9]	syntax-roundtrip:syntax-registry-009-none-890d9d90:language_server	Add a real fixture for syntax-registry-009-none-890d9d90 and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	9	syntax-registry-009-none-890d9d90	-[…]	canvas	scripts/agent/syntax-roundtrip-fixtures/009.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[9]	syntax-roundtrip:syntax-registry-009-none-890d9d90:canvas	Add a real fixture for syntax-registry-009-none-890d9d90 and exercise canvas	null	[]
Syntax::LEXICAL_LEDGER	10	syntax-registry-010-none-240c8dec	!	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/010.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[10]	syntax-roundtrip:syntax-registry-010-none-240c8dec:jet_fmt	Add a real fixture for syntax-registry-010-none-240c8dec and exercise jet_fmt	null	[]
Syntax::LEXICAL_LEDGER	10	syntax-registry-010-none-240c8dec	!	language_server	scripts/agent/syntax-roundtrip-fixtures/010.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[10]	syntax-roundtrip:syntax-registry-010-none-240c8dec:language_server	Add a real fixture for syntax-registry-010-none-240c8dec and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	10	syntax-registry-010-none-240c8dec	!	canvas	scripts/agent/syntax-roundtrip-fixtures/010.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[10]	syntax-roundtrip:syntax-registry-010-none-240c8dec:canvas	Add a real fixture for syntax-registry-010-none-240c8dec and exercise canvas	null	[]
Syntax::LEXICAL_LEDGER	11	syntax-registry-011-none-3a0cb08e	?	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/011.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[11]	syntax-roundtrip:syntax-registry-011-none-3a0cb08e:jet_fmt	Add a real fixture for syntax-registry-011-none-3a0cb08e and exercise jet_fmt	null	[]
Syntax::LEXICAL_LEDGER	11	syntax-registry-011-none-3a0cb08e	?	language_server	scripts/agent/syntax-roundtrip-fixtures/011.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[11]	syntax-roundtrip:syntax-registry-011-none-3a0cb08e:language_server	Add a real fixture for syntax-registry-011-none-3a0cb08e and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	11	syntax-registry-011-none-3a0cb08e	?	canvas	scripts/agent/syntax-roundtrip-fixtures/011.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[11]	syntax-roundtrip:syntax-registry-011-none-3a0cb08e:canvas	Add a real fixture for syntax-registry-011-none-3a0cb08e and exercise canvas	null	[]
Syntax::LEXICAL_LEDGER	12	syntax-registry-012-none-12fa26a3	??	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/012.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[12]	syntax-roundtrip:syntax-registry-012-none-12fa26a3:jet_fmt	Add a real fixture for syntax-registry-012-none-12fa26a3 and exercise jet_fmt	null	[]
Syntax::LEXICAL_LEDGER	12	syntax-registry-012-none-12fa26a3	??	language_server	scripts/agent/syntax-roundtrip-fixtures/012.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[12]	syntax-roundtrip:syntax-registry-012-none-12fa26a3:language_server	Add a real fixture for syntax-registry-012-none-12fa26a3 and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	12	syntax-registry-012-none-12fa26a3	??	canvas	scripts/agent/syntax-roundtrip-fixtures/012.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[12]	syntax-roundtrip:syntax-registry-012-none-12fa26a3:canvas	Add a real fixture for syntax-registry-012-none-12fa26a3 and exercise canvas	null	[]
Syntax::LEXICAL_LEDGER	13	syntax-registry-013-t-expr-52b7b866	T{expr}	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/013.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[13]	syntax-roundtrip:syntax-registry-013-t-expr-52b7b866:jet_fmt	Add a real fixture for syntax-registry-013-t-expr-52b7b866 and exercise jet_fmt	null	[]
Syntax::LEXICAL_LEDGER	13	syntax-registry-013-t-expr-52b7b866	T{expr}	language_server	scripts/agent/syntax-roundtrip-fixtures/013.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[13]	syntax-roundtrip:syntax-registry-013-t-expr-52b7b866:language_server	Add a real fixture for syntax-registry-013-t-expr-52b7b866 and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	13	syntax-registry-013-t-expr-52b7b866	T{expr}	canvas	scripts/agent/syntax-roundtrip-fixtures/013.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[13]	syntax-roundtrip:syntax-registry-013-t-expr-52b7b866:canvas	Add a real fixture for syntax-registry-013-t-expr-52b7b866 and exercise canvas	null	[]
Syntax::LEXICAL_LEDGER	14	syntax-registry-014-name-412f33b2	Name{"…"}	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/014.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[14]	syntax-roundtrip:syntax-registry-014-name-412f33b2:jet_fmt	Add a real fixture for syntax-registry-014-name-412f33b2 and exercise jet_fmt	null	[]
Syntax::LEXICAL_LEDGER	14	syntax-registry-014-name-412f33b2	Name{"…"}	language_server	scripts/agent/syntax-roundtrip-fixtures/014.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[14]	syntax-roundtrip:syntax-registry-014-name-412f33b2:language_server	Add a real fixture for syntax-registry-014-name-412f33b2 and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	14	syntax-registry-014-name-412f33b2	Name{"…"}	canvas	scripts/agent/syntax-roundtrip-fixtures/014.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[14]	syntax-roundtrip:syntax-registry-014-name-412f33b2:canvas	Add a real fixture for syntax-registry-014-name-412f33b2 and exercise canvas	null	[]
Syntax::LEXICAL_LEDGER	15	syntax-registry-015-none-d1412273	.{ … }	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/015.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[15]	syntax-roundtrip:syntax-registry-015-none-d1412273:jet_fmt	Add a real fixture for syntax-registry-015-none-d1412273 and exercise jet_fmt	null	[]
